building = 1    ; Power_Station_II
building = 2    ; Flak_Station_II
building = 10   ; Myko_Power_I
building = 11   ; Power_Flak_I
building = 12   ; Kyt_Power_II
building = 13   ; Myko_Flak_I
building = 14   ; Power_Station_III
building = 17   ; Taer_Power_II
building = 28   ; Flak_Station_I
building = 30   ; Kyt_Flak
building = 31   ; Taer_Flak
building = 52   ; Kyt_Power_I
building = 53   ; Taer_Power_I
building = 54   ; Radar_Station
building = 63   ; Power_Station_I
building = 64   ; Power_Flak_I
building = 71   ; Kyt_Radar
building = 72   ; Myko_Radar
building = 73   ; Taer_Radar
building = 62   ; Stonehenge
