vehicle = 1    ; Weasel
vehicle = 16   ; Fox
vehicle = 2    ; Jaguar
vehicle = 3    ; Tiger
vehicle = 12   ; Rhino
vehicle = 11   ; Rock-Sled
vehicle = 10   ; Firefly
vehicle = 6    ; Wasp
vehicle = 15   ; Hornet
vehicle = 14   ; Dragonfly
vehicle = 4    ; Falcon
vehicle = 7    ; Warhammer
vehicle = 5    ; Marauder
vehicle = 9    ; Scout
vehicle = 133  ; Giant
vehicle = 134  ; Bronsteijn
vehicle = 61   ; Queen
vehicle = 73   ; WOHA-N
vehicle = 71   ; MOAUS-Z
vehicle = 72   ; AMM-0
vehicle = 74   ; ROA-O
vehicle = 65   ; 5PO
vehicle = 64   ; X01
vehicle = 66   ; Static
vehicle = 68   ; Ground Cube
vehicle = 63   ; Hourglass
vehicle = 69   ; Airstick
vehicle = 70   ; Bomber
vehicle = 67   ; Radar
vehicle = 145  ; Crusher
vehicle = 32   ; Eisenhans
vehicle = 37   ; Leonid
vehicle = 33   ; Hetzel
vehicle = 8    ; Phantom
vehicle = 36   ; Serp
vehicle = 38   ; Mnosjetz
vehicle = 131  ; Zeppelin
vehicle = 34   ; Bronsteijn
vehicle = 35   ; Ormu
vehicle = 143  ; Thors Hammer
vehicle = 144  ; Ostwind
vehicle = 22   ; Speedy
vehicle = 26   ; Tekh-Trakh
vehicle = 24   ; Ghagoil 1
vehicle = 28   ; Ghagoil 2
vehicle = 25   ; Ghagoil 3
vehicle = 23   ; Ying
vehicle = 31   ; Tien-Ying
vehicle = 130  ; Yang
vehicle = 27   ; Giant
vehicle = 30   ; Giant 2
vehicle = 29   ; Ghor-Scout
vehicle = 138  ; Drone
vehicle = 142  ; Drone+
